,date,harris_winning_combinations_ctn,trump_winning_combinations_ctn
0,2024_08_09,308,692
1,2024_09_10,399,601
2,2024_08_27,762,238
3,2024_10_03,555,445
4,2024_09_22,267,733
5,2024_08_15,204,796
6,2024_09_19,348,652
7,2024_07_15,15,985
8,2024_10_24,537,463
9,2024_07_27,44,956
10,2024_07_09,6,994
11,2024_09_05,475,525
12,2024_08_05,83,917
13,2024_07_10,5,995
14,2024_10_21,243,757
15,2024_08_19,443,557
16,2024_07_22,8,992
17,2024_08_22,757,243
18,2024_09_15,151,849
19,2024_07_19,3,997
20,2024_08_10,312,688
21,2024_07_05,14,986
22,2024_09_09,339,661
23,2024_09_27,443,557
24,2024_07_28,314,686
25,2024_09_24,452,548
26,2024_07_06,17,983
27,2024_08_13,485,515
28,2024_09_16,686,314
29,2024_08_21,555,445
30,2024_07_21,5,995
31,2024_09_03,235,765
32,2024_10_22,227,773
33,2024_07_13,18,982
34,2024_08_06,74,926
35,2024_08_28,345,655
36,2024_09_06,342,658
37,2024_07_24,4,996
38,2024_08_31,226,774
39,2024_09_28,601,399
40,2024_08_03,85,915
41,2024_07_16,3,997
42,2024_08_16,485,515
43,2024_07_03,1,999
44,2024_09_21,239,761
45,2024_07_31,141,859
46,2024_08_24,623,377
47,2024_09_13,209,791
48,2024_09_08,658,342
49,2024_08_11,519,481
50,2024_07_04,5,995
51,2024_09_26,333,667
52,2024_08_23,633,367
53,2024_07_18,4,996
54,2024_09_14,285,715
55,2024_08_18,468,532
56,2024_09_01,270,730
57,2024_07_23,8,992
58,2024_10_20,227,773
59,2024_08_04,92,908
60,2024_07_11,25,975
61,2024_07_26,49,951
62,2024_09_04,220,780
63,2024_07_08,7,993
64,2024_10_25,566,434
65,2024_07_14,16,984
66,2024_08_01,113,887
67,2024_09_18,440,560
68,2024_09_23,641,359
69,2024_07_01,1,999
70,2024_08_14,445,555
71,2024_09_11,328,672
72,2024_08_08,99,901
73,2024_10_02,605,395
74,2024_08_26,806,194
75,2024_07_30,209,791
76,2024_08_25,647,353
77,2024_10_01,435,565
78,2024_09_12,234,766
79,2024_08_17,481,519
80,2024_07_02,4,996
81,2024_09_20,429,571
82,2024_08_02,606,394
83,2024_07_17,5,995
84,2024_09_07,469,531
85,2024_09_29,368,632
86,2024_07_25,36,964
87,2024_08_30,164,836
88,2024_07_12,24,976
89,2024_08_07,55,945
90,2024_10_23,459,541
91,2024_09_30,428,572
92,2024_08_29,433,567
93,2024_07_20,4,996
94,2024_09_02,257,743
95,2024_09_17,627,373
96,2024_08_20,601,399
97,2024_09_25,259,741
98,2024_07_29,226,774
99,2024_07_07,16,984
100,2024_08_12,502,498
